Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.0487440750002861,1
32,0.0001,0.04766979441046715,1
32,1e-05,0.049589820206165314,9
32,1e-06,0.0496244840323925,18
32,1e-07,0.05188705399632454,18
64,0.001,0.051007580012083054,3
64,0.0001,0.046715930104255676,2
64,1e-05,0.04943103715777397,7
64,1e-06,0.05066140741109848,19
64,1e-07,0.05175265297293663,19
128,0.001,0.04839088022708893,2
128,0.0001,0.049789443612098694,4
128,1e-05,0.048991478979587555,11
128,1e-06,0.04994726926088333,20
128,1e-07,0.05123135447502136,19
256,0.001,0.05024683102965355,1
256,0.0001,0.04824139550328255,2
256,1e-05,0.04896586015820503,16
256,1e-06,0.051453348249197006,20
256,1e-07,0.05325169861316681,20
512,0.001,0.04948452487587929,1
512,0.0001,0.04790390655398369,3
512,1e-05,0.0503963939845562,16
512,1e-06,0.05155662074685097,11
512,1e-07,0.05740627646446228,20
