Batch Size,Learning Rate,Median ES,Mean ES,Maximum Required Blocks
32,0.001,0.0496422350406646,0.04982287089029944,4
32,0.0001,0.048462439328432,0.04865290323893225,2
32,1e-05,0.0488535240292549,0.04881504525740939,11
32,1e-06,0.0497465841472148,0.04981181373198822,20
32,1e-07,0.051334049552679,0.05153317302465435,20
64,0.001,0.0490562543272972,0.04890814150373138,3
64,0.0001,0.0486574918031692,0.048868585129578854,2
64,1e-05,0.0492480993270874,0.04894312272469199,12
64,1e-06,0.0501817725598812,0.05020297989249224,20
64,1e-07,0.0518549792468547,0.05181293611725168,20
128,0.001,0.0484850667417049,0.04864632884661351,3
128,0.0001,0.0485099852085113,0.04850369791189825,4
128,1e-05,0.0489370822906494,0.04893014878034587,15
128,1e-06,0.0507677011191844,0.05074207608898476,20
128,1e-07,0.0528653711080551,0.053119093924760774,20
256,0.001,0.0482025519013404,0.04847114558021223,3
256,0.0001,0.0485852882266044,0.04851570054888721,3
256,1e-05,0.0490336939692497,0.04916575923562046,20
256,1e-06,0.0511666424572467,0.05115648706754042,20
256,1e-07,0.0532516986131668,0.053961662699778846,20
512,0.001,0.0482399687170982,0.04825672482450796,4
512,0.0001,0.0491985455155372,0.049264642596244766,5
512,1e-05,0.0494138151407241,0.049445473899443884,20
512,1e-06,0.0515566207468509,0.05167191351453459,20
512,1e-07,0.0561494715511798,0.05563458825151122,20
