,number,value,datetime_start,datetime_complete,duration,params_add_bn,params_hidden_dim,params_noise_dim,params_num_layer,params_resblock,state
0,0,0.040393196046352386,2026-06-13 05:58:19.265202,2026-06-13 05:58:29.020278,0 days 00:00:09.755076,False,50,100,4,False,COMPLETE
1,1,0.04733874648809433,2026-06-13 05:58:29.021274,2026-06-13 05:58:36.869676,0 days 00:00:07.848402,True,100,100,2,False,COMPLETE
2,2,0.037249594926834106,2026-06-13 05:58:36.870786,2026-06-13 05:59:26.885960,0 days 00:00:50.015174,True,500,250,8,False,COMPLETE
3,3,0.03693905472755432,2026-06-13 05:59:26.885960,2026-06-13 05:59:43.292012,0 days 00:00:16.406052,True,100,250,8,False,COMPLETE
4,4,0.04682385176420212,2026-06-13 05:59:43.292012,2026-06-13 05:59:57.300144,0 days 00:00:14.008132,True,250,100,2,True,COMPLETE
5,5,0.03791596740484238,2026-06-13 05:59:57.300144,2026-06-13 06:00:39.999477,0 days 00:00:42.699333,False,500,100,8,False,COMPLETE
6,6,0.03785160183906555,2026-06-13 06:00:40.000481,2026-06-13 06:01:00.550277,0 days 00:00:20.549796,False,250,50,8,False,COMPLETE
7,7,0.04085613042116165,2026-06-13 06:01:00.550277,2026-06-13 06:01:36.631203,0 days 00:00:36.080926,False,250,250,8,True,COMPLETE
8,8,0.03740628808736801,2026-06-13 06:01:36.632200,2026-06-13 06:02:10.514662,0 days 00:00:33.882462,True,250,100,8,False,COMPLETE
9,9,0.041791945695877075,2026-06-13 06:02:10.515659,2026-06-13 06:03:24.166058,0 days 00:01:13.650399,True,250,250,4,True,COMPLETE
10,10,0.039541445672512054,2026-06-13 06:03:24.167561,2026-06-13 06:04:32.068013,0 days 00:01:07.900452,True,100,500,6,True,COMPLETE
11,11,0.038571760058403015,2026-06-13 06:04:32.069028,2026-06-13 06:06:59.015062,0 days 00:02:26.946034,True,500,250,8,False,COMPLETE
12,12,0.038186781108379364,2026-06-13 06:06:59.016063,2026-06-13 06:07:40.916582,0 days 00:00:41.900519,True,100,250,6,False,COMPLETE
13,13,0.037211328744888306,2026-06-13 06:07:40.917579,2026-06-13 06:10:08.910664,0 days 00:02:27.993085,True,500,250,8,False,COMPLETE
14,14,0.03731730952858925,2026-06-13 06:10:08.911661,2026-06-13 06:10:37.284948,0 days 00:00:28.373287,True,50,50,8,False,COMPLETE
15,15,0.0367986299097538,2026-06-13 06:10:37.285945,2026-06-13 06:11:40.263959,0 days 00:01:02.978014,True,100,500,8,False,COMPLETE
16,16,0.04633224010467529,2026-06-13 06:11:40.264961,2026-06-13 06:12:03.401108,0 days 00:00:23.136147,True,100,500,2,False,COMPLETE
17,17,0.03657960891723633,2026-06-13 06:12:03.402612,2026-06-13 06:12:54.056664,0 days 00:00:50.654052,True,100,500,6,False,COMPLETE
18,18,0.03999195247888565,2026-06-13 06:12:54.058167,2026-06-13 06:13:56.087141,0 days 00:01:02.028974,False,100,500,6,True,COMPLETE
19,19,0.037537213414907455,2026-06-13 06:13:56.089264,2026-06-13 06:14:18.425245,0 days 00:00:22.335981,True,100,500,6,False,COMPLETE
20,20,0.037493154406547546,2026-06-13 06:14:18.426755,2026-06-13 06:14:53.682116,0 days 00:00:35.255361,True,100,500,6,False,COMPLETE
21,21,0.03757242113351822,2026-06-13 06:14:53.683139,2026-06-13 06:15:07.116774,0 days 00:00:13.433635,True,100,500,4,False,COMPLETE
22,22,0.03719277307391167,2026-06-13 06:15:07.117788,2026-06-13 06:15:26.050939,0 days 00:00:18.933151,True,100,500,6,False,COMPLETE
23,23,0.03628184646368027,2026-06-13 06:15:26.052540,2026-06-13 06:16:30.556384,0 days 00:01:04.503844,True,100,500,8,False,COMPLETE
24,24,0.035197120159864426,2026-06-13 06:16:30.557399,2026-06-13 06:17:31.768645,0 days 00:01:01.211246,True,100,500,8,False,COMPLETE
25,25,0.03659561276435852,2026-06-13 06:17:31.769674,2026-06-13 06:18:13.912515,0 days 00:00:42.142841,True,50,500,6,False,COMPLETE
26,26,0.04605169966816902,2026-06-13 06:18:13.913544,2026-06-13 06:18:42.488073,0 days 00:00:28.574529,False,100,500,2,True,COMPLETE
