,number,value,datetime_start,datetime_complete,duration,params_add_bn,params_hidden_dim,params_noise_dim,params_num_layer,params_resblock,state
0,0,0.03631676733493805,2026-06-13 16:58:59.138959,2026-06-13 16:59:46.206298,0 days 00:00:47.067339,True,250,1000,8,False,COMPLETE
1,1,0.035052090883255005,2026-06-13 16:59:46.206298,2026-06-13 17:00:44.434227,0 days 00:00:58.227929,True,100,1000,14,False,COMPLETE
2,2,0.036625757813453674,2026-06-13 17:00:44.434227,2026-06-13 17:01:09.886571,0 days 00:00:25.452344,False,50,500,12,False,COMPLETE
3,3,0.03620464354753494,2026-06-13 17:01:09.886571,2026-06-13 17:02:26.584940,0 days 00:01:16.698369,True,250,1250,12,False,COMPLETE
4,4,0.03958221524953842,2026-06-13 17:02:26.585936,2026-06-13 17:02:51.462376,0 days 00:00:24.876440,False,100,500,10,True,COMPLETE
5,5,0.03948177397251129,2026-06-13 17:02:51.462376,2026-06-13 17:03:20.052185,0 days 00:00:28.589809,False,100,500,12,True,COMPLETE
6,6,0.04089909419417381,2026-06-13 17:03:20.052185,2026-06-13 17:04:17.925907,0 days 00:00:57.873722,False,250,750,12,True,COMPLETE
7,7,0.04027612879872322,2026-06-13 17:04:17.925907,2026-06-13 17:05:16.031914,0 days 00:00:58.106007,False,100,1250,8,True,COMPLETE
8,8,0.04195242375135422,2026-06-13 17:05:16.032918,2026-06-13 17:06:32.613317,0 days 00:01:16.580399,False,250,750,10,True,COMPLETE
9,9,0.04066148027777672,2026-06-13 17:06:32.614332,2026-06-13 17:08:12.776720,0 days 00:01:40.162388,False,250,1000,12,True,COMPLETE
10,10,0.03590497374534607,2026-06-13 17:08:12.777225,2026-06-13 17:11:08.582918,0 days 00:02:55.805693,True,500,1000,14,False,COMPLETE
11,11,0.03606891632080078,2026-06-13 17:11:08.582918,2026-06-13 17:14:05.649287,0 days 00:02:57.066369,True,500,1000,14,False,COMPLETE
12,12,0.03639496862888336,2026-06-13 17:14:05.650284,2026-06-13 17:17:03.043043,0 days 00:02:57.392759,True,500,1000,14,False,COMPLETE
13,13,0.03572319820523262,2026-06-13 17:17:03.044040,2026-06-13 17:20:01.306001,0 days 00:02:58.261961,True,500,1000,14,False,COMPLETE
