Hidden Dim,Noise Dim,Num Layer,Median ES,Mean ES,Min ES,Max ES
50,750,8,0.0361901819705963,0.03612600440780318,0.0354773886501789,0.0367212668061256
50,750,10,0.0358806401491165,0.035855830212434076,0.0347334742546081,0.0367846675217151
50,750,14,0.0360611267387867,0.03609934747219082,0.0350732766091823,0.0369495972990989
50,1000,8,0.0360947921872139,0.0360785973568757,0.0352519303560256,0.0368944779038429
50,1000,10,0.0360054522752761,0.03595619921882943,0.0350311696529388,0.0366161838173866
50,1000,14,0.0362023711204528,0.03613752747575439,0.0349583774805069,0.0367197841405868
100,750,8,0.0363228619098663,0.03624410405755039,0.0346819050610065,0.0370482169091701
100,750,10,0.0360686145722866,0.036005804687738376,0.0352026224136352,0.036696583032608
100,750,14,0.0360597223043441,0.03593891734878218,0.035221878439188,0.0366044491529464
100,1000,8,0.036207266151905,0.03619027584791179,0.0351975634694099,0.0371262617409229
100,1000,10,0.0357216447591781,0.03570614630977308,0.0350236594676971,0.0363721325993537
100,1000,14,0.0358886159956455,0.03581443851192788,0.0344907715916633,0.0364794619381427
