,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
0,-86.46869252345482,-88.51113374071936,-87.33548766462097
1,-83.5554589971535,-83.83433907979993,-82.96155011391986
2,-74.00779485400713,-76.15749278591295,-75.571450200841
3,-76.04790242864405,-76.78839552670964,-77.06576085698426
4,-87.97276870592484,-87.70475187170186,-87.33572649587568
5,-83.51551508267798,-83.37074408197266,-83.24942629707466
6,-77.98186307509269,-72.63653040703474,-73.62747963089451
7,-88.8479084786908,-88.84703408524436,-88.75966571997574
8,-73.2414772431471,-74.90445869346777,-72.20683054277771
9,-69.81295551395044,-63.58824891123426,-65.86988480879192
10,-6.874524937517947,-16.46021989663744,-14.458449802496204
11,-64.2490467607791,-67.1861325947142,-69.86009168399532
12,-43.82161793288025,-41.720127863951795,-42.5261516550149
13,54.20852176177854,65.21331897000279,58.356829451824254
14,-57.345791215882464,-55.07224666963873,-58.318151330964106
15,-66.01204103090447,-65.01424512178767,-67.55176810336845
16,-68.67120298467668,-65.32993989943034,-64.96593713779063
17,-87.29014037894352,-87.94776237192481,-87.26402635296365
18,-80.7860297049509,-81.13015961225824,-81.69192740734394
19,-82.23267621513195,-81.95184965900438,-82.82813306366828
20,-82.31368529291828,-81.92255624485298,-81.87544496697753
21,-78.22333067255741,-78.49635779094298,-78.92746350326483
22,-77.35262275150725,-74.03689513096879,-76.51427909273066
23,-81.11660222736921,-81.79806482808965,-81.71730345166219
24,-82.59613973496751,-82.86843449271318,-83.2580363838689
25,-88.05377447763847,-88.12148359788725,-88.39694101011587
26,-80.16544268315593,-80.31788953887244,-80.20633270107633
27,-81.64172347872784,-82.05112869945866,-81.9973937107835
28,-83.54045574456755,-84.2400419956967,-83.58783978599197
29,-57.63813426415092,-54.44024428973076,-56.216825732044136
30,-79.35751496983983,-79.24885937343616,-78.07515928118207
31,-84.73403998741436,-84.99383151283439,-84.51236980710654
32,-70.95139144223475,-65.76221609274732,-69.3969321783473
33,-83.79290903315123,-84.52751917319351,-84.50502777610097
34,-86.17070667910146,-84.22320495737246,-85.52095815371734
35,-72.48336908963655,-72.36278744401154,-71.35473554701939
