,Baseline Model,Refit Model,Ablation Refit Model
AAPL,0.008207056101638726,0.008142221555289295,0.008186702414040207
BA,0.009711626460572626,0.009675845081228233,0.00965218560139329
CAT,0.008942617717364805,0.008960235502702555,0.008903431725474321
GE,0.013254213931771298,0.013344376768539713,0.013293084707685332
JNJ,0.005302841404381387,0.005295650573573387,0.005292691233901168
JPM,0.0065131267819154405,0.0064531836188190285,0.00646913665066627
MRK,0.0061413104730452155,0.006099572220168109,0.006109904842340826
MSFT,0.006733005726784548,0.006704802619964729,0.006705217950806676
PFE,0.006372932200087122,0.0063491288931310915,0.006392276415192591
XOM,0.006356425795952824,0.00631877506939092,0.006318502300035101
