Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Validation Energy Loss,Achieved in Block
64,0.001,100,100,2,True,False,0.25386106967926025,1
64,0.0001,100,100,2,True,False,0.2450667917728424,1
64,1e-05,100,100,2,True,False,0.24419283866882324,7
128,0.001,100,100,2,True,False,0.2567989230155945,2
128,0.0001,100,100,2,True,False,0.24838986992835999,2
128,1e-05,100,100,2,True,False,0.24693243205547333,14
256,0.001,100,100,2,True,False,0.24912592768669128,1
256,0.0001,100,100,2,True,False,0.24549922347068787,2
256,1e-05,100,100,2,True,False,0.2434041053056717,16
512,0.001,100,100,2,True,False,0.24877741932868958,1
512,0.0001,100,100,2,True,False,0.2431643307209015,3
512,1e-05,100,100,2,True,False,0.249013751745224,20
