,number,value,datetime_start,datetime_complete,duration,params_add_bn,params_batch_sizes,params_hidden_dim,params_learning_rates,params_noise_dim,params_num_layer,params_resblock,state
0,0,0.21278458833694458,2026-06-16 03:08:05.286434,2026-06-16 03:09:30.089688,0 days 00:01:24.803254,True,512,500,0.001,100,10,False,COMPLETE
1,1,0.21013222634792328,2026-06-16 03:09:30.090689,2026-06-16 03:09:53.968647,0 days 00:00:23.877958,True,512,50,0.001,50,14,True,COMPLETE
2,2,0.23982347548007965,2026-06-16 03:09:53.968647,2026-06-16 03:10:21.368566,0 days 00:00:27.399919,True,512,250,0.001,1000,2,False,COMPLETE
3,3,0.2669249475002289,2026-06-16 03:10:21.369564,2026-06-16 03:11:32.119756,0 days 00:01:10.750192,False,512,1000,0.001,500,2,False,COMPLETE
4,4,0.20919694006443024,2026-06-16 03:11:32.120259,2026-06-16 03:11:53.168133,0 days 00:00:21.047874,False,512,100,0.001,100,10,False,COMPLETE
5,5,0.24542948603630066,2026-06-16 03:11:53.168133,2026-06-16 03:12:25.889410,0 days 00:00:32.721277,True,512,100,0.001,250,2,True,COMPLETE
6,6,0.21087487041950226,2026-06-16 03:12:25.889410,2026-06-16 03:13:28.845929,0 days 00:01:02.956519,True,512,100,0.001,500,8,True,COMPLETE
7,7,0.2104799747467041,2026-06-16 03:13:28.845929,2026-06-16 03:21:42.428349,0 days 00:08:13.582420,True,512,1000,0.001,250,14,False,COMPLETE
8,8,0.21980777382850647,2026-06-16 03:21:42.429854,2026-06-16 03:24:18.445982,0 days 00:02:36.016128,False,512,500,0.001,100,8,True,COMPLETE
9,9,0.20778954029083252,2026-06-16 03:24:18.446998,2026-06-16 03:25:26.418190,0 days 00:01:07.971192,False,512,50,0.001,1000,6,True,COMPLETE
10,10,0.20786906778812408,2026-06-16 03:25:26.418190,2026-06-16 03:26:36.421738,0 days 00:01:10.003548,False,512,50,0.001,1000,6,True,COMPLETE
11,11,0.2073468267917633,2026-06-16 03:26:36.422240,2026-06-16 03:27:43.862618,0 days 00:01:07.440378,False,512,50,0.001,1000,6,True,COMPLETE
12,12,0.20825520157814026,2026-06-16 03:27:43.862618,2026-06-16 03:28:39.959282,0 days 00:00:56.096664,False,512,50,0.001,1000,6,True,COMPLETE
13,13,0.2093505859375,2026-06-16 03:28:39.959815,2026-06-16 03:29:20.170579,0 days 00:00:40.210764,False,512,50,0.001,1000,4,True,COMPLETE
