Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.033174242824316025,2
32,0.0001,0.030443500727415085,1
32,1e-05,0.029980238527059555,3
64,0.001,0.03434978798031807,4
64,0.0001,0.03288925439119339,1
64,1e-05,0.030161013826727867,2
128,0.001,0.03295617178082466,1
128,0.0001,0.035464804619550705,1
128,1e-05,0.029683638364076614,3
256,0.001,0.031956303864717484,1
256,0.0001,0.030829276889562607,1
256,1e-05,0.0300814900547266,1
512,0.001,0.03098234534263611,1
512,0.0001,0.030444230884313583,1
512,1e-05,0.030243132263422012,3
