,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
0,-87.16937645964418,-87.5861842307488,-87.79942370940903
1,-82.02353759136058,-84.33350452698915,-82.79430912711545
2,-73.19169496062301,-75.32161780881675,-75.46721592502414
3,-77.18453988419887,-75.36020364874297,-76.12157625642493
4,-87.218298986356,-87.55409193129165,-87.28943684029313
5,-82.20164333365385,-82.2135885036044,-83.48913491257402
6,-74.07440434724961,-76.99690634220926,-73.80755211432216
7,-88.48236212047746,-88.49421920479604,-88.53498320179496
8,-71.98020175586497,-76.29314437266667,-75.28662904678478
9,-65.15615477757152,-67.8184003754053,-66.14343688389954
10,-17.558960292290152,-8.718251965809358,-18.503782292259444
11,-65.62926733016104,-66.50283009236978,-66.83734994583502
12,-48.24037449466084,-46.3733469308215,-45.014029263258365
13,64.92982344530854,48.74016545904115,53.41741834269111
14,-54.941748803141735,-56.81669107691555,-59.95481539585463
15,-67.39371593820452,-67.57124135645354,-66.61026229916075
16,-66.88740635808409,-65.75998808690672,-64.40757966160082
17,-87.00828453147787,-87.2024677390601,-87.80738011572522
18,-79.68227878016035,-79.58519332208432,-80.78816704255034
19,-81.13196244999531,-82.5683914775273,-82.31448661775946
20,-81.83080354107898,-83.06757100674429,-81.5454506762526
21,-78.69336169138268,-78.07882789465546,-80.10552996742854
22,-74.91088159728818,-75.75495255041,-74.6580942980886
23,-81.00056508805285,-80.72690880880299,-81.18180555567432
24,-82.34102079773099,-82.05638746931555,-82.59368529577455
25,-88.31690435712328,-88.06697823400111,-88.11386480143837
26,-80.80890237456998,-81.1870052467352,-80.80489217203854
27,-81.5127204654925,-82.209281508442,-81.76036288087016
28,-84.97765323178459,-84.57327667321425,-84.58123887140056
29,-54.0580800693686,-56.47573680940704,-53.38242390341734
30,-79.43877712222732,-79.15659012831324,-78.82339755857497
31,-84.81217867786404,-83.8311500184751,-83.98514084492825
32,-66.67832581113127,-66.37481887638782,-67.9544068066298
33,-83.5293125124047,-84.8649552392817,-84.2645527064207
34,-85.00911590177904,-84.08960325049748,-85.21033234958767
35,-70.07297185432212,-72.11188056237427,-72.05261504747304
36,-24.13771534663121,-36.31436647025632,-31.650204841923454
37,-65.26005147999034,-67.1781339852624,-67.68224467810003
38,-82.8501703226569,-82.51988172186124,-82.90935616719261
39,-27.56125294770777,-38.2179809519166,-36.071970775967685
40,-55.53010723572412,-52.58042279772221,-54.34960765656367
41,-85.22463637363683,-86.50797348426406,-86.68559585869245
42,-70.12683971949443,-71.43265579268537,-70.58229053613596
43,-67.42512624366991,-69.88543116977179,-71.07062780698277
44,-77.61593514186585,-79.61099628727797,-78.18907016140791
45,-88.20372277018915,-88.99179057943765,-88.79824454031055
46,-81.93876870995337,-82.02283308881763,-82.09778013700573
47,-71.17404329675983,-75.05614006613465,-74.73191293915713
48,-83.5906834615047,-83.72108982517928,-82.6649528872845
49,-81.41563097367168,-81.286608914273,-81.69743533956958
50,-82.74035025886572,-83.56181109934113,-84.65184829372707
51,-86.17529079430574,-85.83010658102958,-85.87646803329186
52,-89.24757727852453,-88.72269869915806,-89.08479153421477
53,-88.4395762570214,-87.26229960138505,-87.76219637516708
54,-76.97652724198423,-78.54906136951242,-77.48758270625055
55,-85.54375697709072,-85.84935584756869,-86.48139291648445
56,-87.49378535108845,-87.71816817116436,-87.50114940631346
57,-70.20967883367233,-73.13103692332379,-74.28036144167939
58,-87.26648458786525,-86.50326989803216,-86.46338508995836
