,Baseline Model,Refit Model,Ablation Refit Model
AAPL,0.00814354529587536,0.008147701361470394,0.008153968601589756
BA,0.009751769512631394,0.009660296995944206,0.009657606136802041
CAT,0.008946445770704099,0.008929979107586548,0.00887973911786858
GE,0.013377692175869614,0.013306836403940493,0.01329533748248984
JNJ,0.005330789331757587,0.005279480010459564,0.005273459397131037
JPM,0.0065344408816644835,0.00642571948375732,0.006442780941724737
MRK,0.006120681783486442,0.0061133556850140715,0.006118565120723494
MSFT,0.006724451426314793,0.006706969726202727,0.006688402383966449
PFE,0.006338768410693038,0.006354553555702089,0.006346757729922298
XOM,0.006361240114946529,0.0063197565544654485,0.006306137136630911
