Batch Size,LR,Hidden Dim,Noise Dim,Num Layer,Add BN,Resblock,Median ES,Mean ES,Min ES,Max ES,Max Blocks
64,0.001,100,100,2,True,False,0.2566617429256439,0.2564511239528656,0.2538610696792602,0.2589928209781647,2
64,0.0001,100,100,2,True,False,0.2450667917728424,0.24519909024238581,0.2440175414085388,0.2467596530914306,2
64,1e-05,100,100,2,True,False,0.2450065314769745,0.24498002529144286,0.2441928386688232,0.2457799911499023,9
128,0.001,100,100,2,True,False,0.2537599205970764,0.2533369719982147,0.2505349516868591,0.2567989230155945,2
128,0.0001,100,100,2,True,False,0.2458365708589553,0.24707563221454612,0.2448076903820037,0.2508247494697571,2
128,1e-05,100,100,2,True,False,0.2451882660388946,0.2455247551202774,0.2442679703235626,0.2469324320554733,15
256,0.001,100,100,2,True,False,0.2491259276866912,0.250034749507904,0.2473325580358505,0.2532708048820495,1
256,0.0001,100,100,2,True,False,0.2454992234706878,0.24534436166286464,0.2447961270809173,0.2457915246486663,3
256,1e-05,100,100,2,True,False,0.2460500001907348,0.24586820304393764,0.2434041053056717,0.2474064230918884,18
512,0.001,100,100,2,True,False,0.2433332204818725,0.24382458627223963,0.2408241331577301,0.2487774193286895,1
512,0.0001,100,100,2,True,False,0.2472718358039856,0.2458890676498413,0.2431643307209015,0.2477675527334213,4
512,1e-05,100,100,2,True,False,0.249013751745224,0.24946215450763698,0.2488054484128952,0.2515056729316711,20
