Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04844307899475098,2
32,0.0001,0.046992652118206024,1
32,1e-05,0.04873526468873024,6
32,1e-06,0.0515127070248127,9
32,1e-07,0.05284098535776138,10
64,0.001,0.04714414104819298,1
64,0.0001,0.04778911918401718,1
64,1e-05,0.04854125902056694,9
64,1e-06,0.05175855755805969,10
64,1e-07,0.052086882293224335,10
128,0.001,0.050382912158966064,1
128,0.0001,0.04900655895471573,1
128,1e-05,0.048772383481264114,7
128,1e-06,0.05003335326910019,8
128,1e-07,0.05434419587254524,10
256,0.001,0.049211449921131134,1
256,0.0001,0.04904014617204666,2
256,1e-05,0.04953489825129509,7
256,1e-06,0.052869319915771484,10
256,1e-07,0.05547809228301048,10
512,0.001,0.048124708235263824,2
512,0.0001,0.049627505242824554,3
512,1e-05,0.05046544969081879,10
512,1e-06,0.05306948721408844,10
512,1e-07,0.05501415207982063,10
