Batch Size,LR,Hidden Dim,Noise Dim,Number Layer,Add BN,Resblock,Validation Energy Loss,Achieved in Block
64,0.001,100,100,2,True,False,0.2566617429256439,1
64,0.0001,100,100,2,True,False,0.24550259113311768,1
64,1e-05,100,100,2,True,False,0.24577999114990234,8
128,0.001,100,100,2,True,False,0.2537599205970764,1
128,0.0001,100,100,2,True,False,0.24583657085895538,2
128,1e-05,100,100,2,True,False,0.24518826603889465,15
256,0.001,100,100,2,True,False,0.24817635118961334,1
256,0.0001,100,100,2,True,False,0.24479612708091736,2
256,1e-05,100,100,2,True,False,0.24605000019073486,18
512,0.001,100,100,2,True,False,0.24149511754512787,1
512,0.0001,100,100,2,True,False,0.24753059446811676,2
512,1e-05,100,100,2,True,False,0.25150567293167114,17
