Batch Size,Learning Rate,Median ES,Mean ES,Maximum Required Blocks
32,0.001,0.0499242469668388,0.0498552816609541,4
32,0.0001,0.0485388115048408,0.048604708413282995,3
32,1e-05,0.0487809479236602,0.04869325881203012,9
32,1e-06,0.0505625233054161,0.050718817363182664,10
32,1e-07,0.0524840131402015,0.05237810462713237,10
64,0.001,0.049508236348629,0.049322265386581375,2
64,0.0001,0.0487738139927387,0.048741068691015195,2
64,1e-05,0.0484999567270278,0.04836760188142455,10
64,1e-06,0.0504796728491783,0.050841652353604584,10
64,1e-07,0.0531482547521591,0.05312622164686517,10
128,0.001,0.0485439747571945,0.048973597834507575,3
128,0.0001,0.0484785102307796,0.04865492855509119,2
128,1e-05,0.0490264669060707,0.04881370738148687,10
128,1e-06,0.0515045672655105,0.05124092350403463,10
128,1e-07,0.054740335792303,0.05460371201237039,10
256,0.001,0.0482548736035823,0.04838730742533996,2
256,0.0001,0.0490448959171772,0.04902989541490868,3
256,1e-05,0.0497584827244281,0.04986856654286378,10
256,1e-06,0.0513423383235931,0.05136070897181824,10
256,1e-07,0.0536594539880752,0.05397989427049947,10
512,0.001,0.0472420267760753,0.04765882616241769,3
512,0.0001,0.0490633994340896,0.04885291879375773,4
512,1e-05,0.0501988977193832,0.05024744793772691,10
512,1e-06,0.0517743490636348,0.051775494714577965,10
512,1e-07,0.0550141520798206,0.05451616471012428,10
